"Issue Key","Issue Type","Summary","Epic Name","Parent"
"SDGEU-83","Sub-task","[S5-P1-T2] Criar serviço de XP e level up","","NEW-STORY-17"
"SDGEU-81","Sub-task","[S5-P1-T1] ","","NEW-STORY-17"
"SDGEU-85","Sub-task","[S5-P1-T3] Criar UI de progresso em React","","NEW-STORY-17"
"SDGEU-39","Sub-task","[S2-P3-T2] S5-P1-T2]","","NEW-STORY-7"
"SDGEU-87","Sub-task","[S5-P2-T1] Criar endpoint de check-in no backend","","NEW-STORY-18"
"SDGEU-43","Sub-task","[S3-P1-T1] S5-P1-T2], [S1-P3-T1]","","NEW-STORY-10"
"SDGEU-89","Sub-task","[S5-P2-T2] Implementar validação de distância e regra diária","","NEW-STORY-18"
"SDGEU-87","Sub-task","[S5-P2-T1] ","","NEW-STORY-17"
"SDGEU-91","Sub-task","[S5-P2-T3] Criar fluxo de check-in em React","","NEW-STORY-18"
"SDGEU-69","Sub-task","[S4-P2-T1] S5-P2-T2]","","NEW-STORY-16"
"SDGEU-93","Sub-task","[S5-P2-T4] Integrar câmera no navegador para foto opcional","","NEW-STORY-17"
"SDGEU-91","Sub-task","[S5-P2-T3] ","","NEW-STORY-17"
"SDGEU-95","Sub-task","[S5-P3-T1] Criar sistema de desafios no backend","","NEW-STORY-19"
"SDGEU-83","Sub-task","[S5-P1-T2] ","","NEW-STORY-17"
"SDGEU-97","Sub-task","[S5-P3-T2] Criar lógica de atualização de desafios","","NEW-STORY-19"
"SDGEU-95","Sub-task","[S5-P3-T1] S5-P2-T2]","","NEW-STORY-17"
"SDGEU-99","Sub-task","[S5-P3-T3] Criar tela de desafios e badges em React","","NEW-STORY-19"
"SDGEU-95","Sub-task","[S5-P3-T1] S5-P1-T3]","","NEW-STORY-17"
"SDGEU-101","Sub-task","[S6-P1-T1] Criar módulo de parceiros e recompensas no backend","","NEW-STORY-20"
"SDGEU-83","Sub-task","[S5-P1-T2] ","","NEW-STORY-17"
"SDGEU-103","Sub-task","[S6-P1-T2] Criar loja de recompensas em React","","NEW-STORY-20"
"SDGEU-101","Sub-task","[S6-P1-T1] S2-P3-T1]","","NEW-STORY-20"
"SDGEU-105","Sub-task","[S6-P1-T3] Criar fluxo de confirmação de resgate em React","","NEW-STORY-21"
"SDGEU-103","Sub-task","[S6-P1-T2] ","","NEW-STORY-20"
"SDGEU-107","Sub-task","[S6-P2-T1] Criar lógica de resgate no backend","","NEW-STORY-21"
"SDGEU-101","Sub-task","[S6-P1-T1] S5-P1-T2]","","NEW-STORY-20"
"SDGEU-109","Sub-task","[S6-P2-T2] Criar geração de voucher e QR Code no backend","","NEW-STORY-22"
"SDGEU-107","Sub-task","[S6-P2-T1] ","","NEW-STORY-20"
"SDGEU-111","Sub-task","[S6-P2-T3] Criar tela de voucher em React","","NEW-STORY-22"
"SDGEU-105","Sub-task","[S6-P1-T3] S6-P2-T2]","","NEW-STORY-20"
"SDGEU-113","Sub-task","[S6-P2-T4] Criar temporizador do voucher em React","","NEW-STORY-22"
"SDGEU-111","Sub-task","[S6-P2-T3] ","","NEW-STORY-20"
"SDGEU-115","Sub-task","[S6-P3-T1] Criar validação de voucher no backend","","NEW-STORY-22"
"SDGEU-109","Sub-task","[S6-P2-T2] ","","NEW-STORY-20"
"SDGEU-117","Sub-task","[S6-P3-T2] Criar acesso do parceiro no React","","NEW-STORY-20"
"SDGEU-37","Sub-task","[S2-P3-T1] ","","NEW-STORY-7"
"SDGEU-119","Sub-task","[S6-P3-T3] Criar scanner de QR Code no React","","NEW-STORY-22"
"SDGEU-117","Sub-task","[S6-P3-T2] S6-P3-T1], [S5-P2-T4]","","NEW-STORY-20"
"SDGEU-121","Sub-task","[S7-P1-T1] Otimizar backend Spring Boot","","NEW-STORY-23"
"SDGEU-122","Sub-task","[S7-P1-T2] Implementar proteção adicional no backend","","NEW-STORY-23"
"SDGEU-121","Sub-task","[S7-P1-T1] ","","NEW-STORY-23"
"SDGEU-124","Sub-task","[S7-P1-T3] Auditar PWA no frontend","","NEW-STORY-23"
"SDGEU-125","Sub-task","[S7-P2-T1] Criar testes de integração do backend","","NEW-STORY-24"
"SDGEU-122","Sub-task","[S7-P1-T2] ","","NEW-STORY-23"
"SDGEU-127","Sub-task","[S7-P2-T2] Criar testes dos fluxos críticos no frontend","","NEW-STORY-24"
"SDGEU-124","Sub-task","[S7-P1-T3] ","","NEW-STORY-23"
"SDGEU-129","Sub-task","[S7-P2-T3] Publicar backend","","NEW-STORY-25"
"SDGEU-125","Sub-task","[S7-P2-T1] ","","NEW-STORY-23"
"SDGEU-131","Sub-task","[S7-P3-T1] Corrigir pendências finais do frontend","","NEW-STORY-23"
"SDGEU-124","Sub-task","[S7-P1-T3] S7-P2-T2]","","NEW-STORY-23"
"SDGEU-133","Sub-task","[S7-P3-T2] Publicar frontend React PWA","","NEW-STORY-25"
"SDGEU-131","Sub-task","[S7-P3-T1] S7-P2-T3]","","NEW-STORY-23"
"SDGEU-135","Sub-task","[S7-P3-T3] Preparar entrega acadêmica","","NEW-STORY-23"
"SDGEU-133","Sub-task","[S7-P3-T2] ","","NEW-STORY-23"
